Domain,Term,Definition,Synonyms
Pre-Award,Intellectual Property Review,A pre-submission review by the institution's legal or tech-transfer office of IP issues raised by an application.,"IP review, Pre-submission IP review, Tech transfer review"
Submission,Submission Profile,"Configuration of an institution's connection to a sponsor's electronic system: which system, which environment, which credentials.","Submission account, System configuration, Sponsor system profile"
Submission,Submission Package,"An immutable snapshot of the documents and metadata assembled to send to a sponsor. Once an attempt references the snapshot, it should not change.","Submission bundle, Assembled package, Submission set"
Submission,Submission Attachment,A file included in a sent package. The file's hash is captured at packaging time so integrity can be verified later.,"Package attachment, Submitted document"
Submission,Submission Attempt,"One outbound transmission of a package to an external sponsor system. Multiple attempts may reference the same package (retry, environment switch).","Transmission, Submit attempt, Send"
Submission,Submission Event,"A granular audit entry during an outbound transmission: status transitions, sponsor feedback, operator actions, errors, validation results.","Submission audit event, Transmission event"
Submission,System-to-System (S2S),"Electronic submission of applications from institutional systems directly to sponsor systems, avoiding manual portal entry.","Direct submission, API submission"
Post-Award,Award,"A funded grant, contract, or cooperative agreement. The central record of funded work. Links to the originating proposal, the project, the sponsor, and (for pass-through funding) the prime sponsor. NOTE: research administrators sometimes use this word interchangeably with Project when referring to a funded effort; Project here means the longer-lived research effort, this term is the funded instance.","Grant, Contract, Cooperative agreement, Funded project, Sponsored project"
Post-Award,Modification,"A change to a funded agreement after initial funding: incremental funding, no-cost extension, budget revision, PI change, scope change, carryover approval.","Mod, Award mod, Amendment, Change order"
Post-Award,Award Terms,"Terms and conditions: payment method, invoicing frequency, reporting requirements, cost-sharing obligations, special conditions.","Terms & conditions, T&Cs, Contract terms"
Post-Award,Budget Period,"A period of funding (typically annual) within a funded agreement. Each period has its own start and end dates, funding amounts, and state. Matches sponsor reporting and funding cycles.","Project year, Budget year, Period of funding"
Post-Award,Award Budget,"Detailed line items within a budget period. Typically tracks three amounts: proposed (from the original application), approved (what the sponsor authorized), current (after modifications).","Funded budget, Authorized budget"
Post-Award,Subaward,"Funding passed from your institution to a collaborating institution as part of a prime agreement. Records the subrecipient, amounts, dates, risk level, and monitoring requirements.","Subcontract, Subagreement, Subrecipient award"
Post-Award,Cost Share,"A commitment by the institution (or a third party) to contribute resources to match sponsor funding. Cash, in-kind, third-party, waived indirect costs, effort-only.","Match, Matching funds, Institutional match"
Post-Award,Deliverable,"A required report or product on a funded agreement: progress report, financial report, publication, data-sharing plan, final report.","Required report, Sponsor report, Required submission"
Post-Award,Award Hierarchy,"Parent/child structure between related agreements: incremental segments, supplemental funding, or related awards funded under the same prime. Often the natural home for the rolled-up view of an entire funded effort.","Award family, Award tree, Award segments"
Post-Award,Award Template,"Reusable boilerplate for terms, reporting cadences, and standard contacts. Lets a sponsored programs office standardize new-agreement setup.","Term template, Boilerplate, Standard award setup"
Post-Award,Negotiation,The contract or agreement bargaining lifecycle between institution and sponsor before final acceptance. Distinct from the resulting terms record.,"Award negotiation, Contract negotiation"
Post-Award,Closeout,"Final administrative and financial steps to close a funded agreement after the period of performance ends: final reports, final invoice, equipment disposition, records retention.","Award closeout, Award closure, Closing"
Post-Award,Competing Continuation,A renewal application that competes for new funding after the current segment ends. Typically gets a new agreement number while preserving the FAIN-anchored lifetime.,"Competing renewal, Type 2"
Post-Award,Non-Competing Continuation,A renewal that adds another year of funding to an existing segment without re-competing. Same agreement number persists.,"Non-competing renewal, Type 5, Progress year"
Post-Award,No-Cost Extension (NCE),A change extending the period of performance without additional funding.,"Extension, Time extension"
Post-Award,Approved Items List,"Pre-approved equipment, foreign travel, or subawards attached to award terms. Drives spend monitoring without per-transaction approval.","Pre-approved list, Approved equipment list, Approved travel list"
Post-Award,Special Reviews,"Compliance flags attached cross-cutting to a proposal or funded agreement as a quick reminder of applicable concerns: human subjects, animal subjects, recombinant DNA, export control.","Compliance flags, Cross-cutting compliance"
Financial,Fund,"A pool of money tracked in the institutional accounting system. Has a code, an owning organization, and a type classification (restricted, unrestricted, endowment, etc.).","Fund code, Funding pool"
Financial,Account,"A general ledger code for categorizing financial activity, classified by GAAP type (Asset, Liability, Equity, Revenue, Expense). Supports hierarchical chart structures.","GL code, Object code, Natural code"
Financial,Finance Code,The institutional accounting string that connects a funded agreement to the chart of accounts: fund + organization + ledger code + program. Sometimes called FOAP.,"FOAP, Account string, Chartfield string, Financial code"
Financial,Transaction,"An individual financial entry charged to a funded agreement: expense, encumbrance, revenue, transfer.","Posting, Charge, Expense entry"
Financial,Indirect Cost Rate,"A negotiated rate used to calculate overhead recovery on a funded agreement. Specifies rate type, base type, percentage, and effective date range.","F&A rate, Overhead rate, IDC rate, NICRA rate"
Financial,Invoice,"A bill sent to a sponsor for reimbursement or payment. Tracks the amount, submission date, and payment state.","Bill, Sponsor billing"
Financial,Facilities & Administrative (F&A),"Indirect cost. The portion of a project's cost recovered for facilities, utilities, administration, and other overhead not directly billable to specific activities.","Indirect cost, IDC, Overhead, Burden"
Financial,Modified Total Direct Cost (MTDC),"A federal indirect-cost base: total direct costs minus exclusions (equipment, tuition, subaward amounts over a threshold).",MTDC base
Financial,Total Direct Cost (TDC),All direct costs without exclusions. Sometimes used as an F&A base.,"TDC base, Total direct"
Financial,F&A Distribution,"How recovered overhead flows back to units (departments, colleges, central administration). Drives unit-level analytics and incentive accounting.","F&A return, Indirect cost return, Overhead distribution, ICR distribution"
Financial,Speed Type,Institutional accounting shorthand for a chart-of-accounts coding combination. The shorthand identifier of how a charge is directed.,"Account code, Chartfield string (when short), Speed code"
Financial,Subaccount / Project Number (institutional),The institution-side identifier for a finance subdivision under a funded agreement. Distinct from the long-lived research project and from the sponsor's agreement number.,"Project number (institutional), Subaccount, Account number (institutional)"
Financial,Encumbrance,A committed but not-yet-spent obligation against a funded agreement (e.g. an open purchase order).,"Obligation, Commitment, Open PO"
Personnel & Effort,Project Role,"A person's role on a research effort (PI, Co-PI, coordinator, key personnel) with an effort allocation, date range, and key-personnel flag.","Role on project, Investigator role, Personnel assignment"
Personnel & Effort,Effort,"The percentage of time a person spent on a project role during a specific period, along with certification details (method, certifier, date).","Effort report, Time and effort, Time commitment"
Personnel & Effort,Credit Splits,Allocation of investigator credit across people and across units. Drives F&A distribution back to departments. Distinct from effort: credit can be allocated independent of who did the work.,"Credit allocation, Investigator credit, Unit credit split"
Personnel & Effort,Effort Certification Method,"How time on a project is certified: Personnel Activity Report (PAR), Activity Report, Timesheet, Other.","Certification method, Effort method"
Personnel & Effort,Full-Time Equivalent (FTE),"The fractional time commitment for a personnel role, typically expressed as a percentage.","FTE percent, Effort percent, Person-month equivalent"
Personnel & Effort,Salary Cap,A federal limit on how much salary can be charged to certain awards (e.g. NIH executive-level II cap). Effort above the cap may need to be cost-shared.,"NIH salary cap, Cap, Compensation cap"
Faculty Development,Cohort,"A group or track within a faculty development or research support program (Grant Writing, CAREER preparation, Mentoring, Seed Competition, Boot Camp).","Track, Program cohort, Development cohort"
Faculty Development,Cohort Participation,"A person's enrollment in a development program. Optionally tracks the related proposal or project being developed, a coach assignment, and participation state.","Program enrollment, Participant record"
Faculty Development,Coach / Mentor,Personnel assigned to support a development program participant.,"Mentor, Faculty mentor, Coach"
Operations,Application System,"An operational system, portal, or tool used in research administration: an ERA, ERP, sponsor portal, ticketing system, reference tool, reporting platform.","System, Tool, Platform, ERA"
Operations,Service Request,"A request or ticket related to research administration operations (TDX, ServiceNow, Jira, etc.). May link to a related funded agreement, application, or system.","Ticket, Help request, Case, Inquiry"
Operations,Office of Sponsored Programs (OSP),The central research administration office at most universities.,"Sponsored Programs, Sponsored Research Office, OSR, ORS, Pre-Award Office"
Operations,Electronic Research Administration (ERA),"Software systems supporting the research administration lifecycle: proposal development, submission, award management, compliance.","ERA system, Research admin system, Grants management system"
Compliance,Compliance Requirement,"A regulatory approval required for research: IRB (human subjects), IACUC (animal subjects), IBC (biosafety), radiation safety, others. Tracks requirement type, protocol number, approval dates, expiration, review type.","Regulatory approval, Protocol record, Compliance review"
Compliance,Conflict of Interest (COI),"Investigator financial-interest disclosures and management plans. Records the type of relationship, the entity involved, financial details, and review outcome.","Financial disclosure, FCOI, COI disclosure"
Compliance,Institutional Review Board (IRB),Committee that reviews human-subjects research for ethical conduct and regulatory compliance.,"Human subjects committee, Ethics board"
Compliance,Institutional Animal Care and Use Committee (IACUC),Committee that reviews and oversees animal research for humane care and regulatory compliance.,Animal subjects committee
Compliance,Institutional Biosafety Committee (IBC),"Committee that reviews research involving recombinant DNA, infectious agents, and other biohazards.",Biosafety committee
Compliance,Protocol,"A research review record submitted to a regulatory committee for ethical and regulatory approval. Carries a number, period of approval, and review type.","IRB approval, IACUC approval, IBC approval, Compliance file"
Compliance,Review Committee,"The roster and meeting schedule of an IRB, IACUC, IBC, or other regulatory body that reviews research for approval.","Compliance committee, Oversight body"
Compliance,Special Review,A flag attached cross-cutting to an application or funded agreement as a quick reminder of applicable compliance concerns.,"Compliance flag, Compliance indicator"
Compliance,Restriction,"An operational constraint that limits who can touch a research effort, where its data can live, when results can be published, or what nationality of personnel can participate. Distinct from a regulatory approval to obtain.","Operational constraint, Project restriction, Access restriction"
Compliance,Controlled Unclassified Information (CUI),"Federal data classification requiring NIST SP 800-171 controls. Drives system security plans, personnel screening, and infrastructure separation.","Sensitive but unclassified, SBU, CUI marking"
Compliance,Cybersecurity Maturity Model Certification (CMMC),"Required DoD certification level for institutions handling DoD data. Levels 1, 2, 3.","CMMC level, CMMC certification level"
Compliance,Export Control (EAR / ITAR),"U.S. regulations restricting transfer of certain technologies, technical data, or services to foreign nationals or countries. EAR = Export Administration Regulations (Commerce); ITAR = International Traffic in Arms Regulations (State).","Deemed export, Technology control"
Compliance,Foreign Influence Disclosure,"Federal requirement that PIs disclose foreign appointments, support, and collaborations. Implemented under research security policies (NSPM-33).","Research security disclosure, NSPM-33 disclosure, Foreign engagement disclosure"
Compliance,Single Audit Threshold,Annual federal award expenditure level above which an institution must undergo a single audit (currently $750k). Triggered by federal pass-through funding.,"Single audit, A-133, Uniform Guidance audit"
Compliance,Questionnaire,"A set of compliance questions attached to applications or protocols (e.g. 'Does this involve hazardous materials?'), versioned across review cycles.","Compliance survey, Compliance form, Yes/no questionnaire"
Cross-cutting,Due Date,"A future-dated obligation that requires action: application due to the sponsor, progress report due to the agency, IRB renewal expiration, invoice due to a sponsor.","Deadline, Due, Cutoff, Reporting deadline"
Cross-cutting,Agreement Date,The date a sponsor and institution accept the terms of a funded arrangement. Distinct from the period-of-performance start.,"Signed date, Execution date, Effective date"
Cross-cutting,Funding Source,"The specific program or pool the money originated from (federal Assistance Listing, foundation initiative, internal pool). Distinct from sponsor (the legal counterparty).","Funding mechanism, Funding program, Money source, Origin of funds"
Cross-cutting,Externally-Funded Effort,"Any work administered by the institution that uses money from a non-institutional sponsor. NOTE: not all such work is research; instruction, public service, and other activity types also qualify.","Sponsored project, Sponsored activity, Grant-funded effort"
Cross-cutting,Lifecycle,"The progression of a research effort or funded agreement through defined stages over time: under development, submitted, awarded, active, closing, closed. Used to describe how an effort moves from one major phase to another.","Lifecycle stage, Phase, Process stage"
Cross-cutting,Workflow,"The defined approval routing a record passes through before it can advance: drafted, departmental review, college review, central office review, submitted. Captures who has to act, in what order, and when each step completes.","Routing, Approval routing, Document routing, Process flow"
Reference,Subrecipient,An institution that receives funding from another institution as part of a prime award. Performs a portion of the scope of work under monitoring by the prime.,"Sub, Sub institution, Subaward recipient"
Reference,Vendor,"A supplier of goods or services on a funded agreement. Distinct from a collaborating institution that receives a subaward; a supplier sells you something, a subrecipient performs scope of work.","Supplier, Contractor (in some contexts)"
Reference,Notice of Funding Opportunity (NOFO),"A federal funding announcement that specifies the program, eligibility, deadlines, submission requirements, and review criteria. Used by federal agencies for grant programs.","Funding announcement, Federal solicitation, Federal opportunity, FOA"
Pre-Award,Letter of Intent (LOI) / Pre-Proposal,An early-stage signal to a sponsor that an institution intends to submit a full application. May require a short description of scope and team. Some sponsors require it before a full application can be submitted.,"LOI, Pre-proposal, Concept paper, White paper"
Pre-Award,Biosketch,"A standardized short CV format used on federal proposals to describe an investigator's qualifications: positions, publications, contributions to science, key research support. Sponsor-specific formatting (NIH, NSF, etc.).","Biographical sketch, NIH biosketch, NSF biosketch, CV"
Pre-Award,Budget Justification,"A narrative document explaining each line item in a proposal budget: why it's needed, how the amount was calculated, and how it relates to the scope of work.","Budget narrative, Justification narrative"
Post-Award,Notice of Award (NOA),"The sponsor's official document confirming funded support for a project. Specifies the amount, period of performance, terms, and any special conditions. Triggers institutional account setup.","NoA, Award notice, Award letter, GFE (in some contracts)"
Post-Award,Period of Performance (PoP),"The total span of time over which funded work is authorized, from start date through end date. Covers all budget periods within a single funded agreement.","Project period, Award period, Performance period"
Post-Award,Pre-Award Costs / At-Risk Spending,"Costs incurred before the official start of a funded agreement, allowed under specific sponsor terms with prior approval. The institution assumes the risk until the agreement is finalized.","Pre-award spending, Advance account, Advance spending"
Post-Award,Carryover / Carryforward,Unspent funds from one budget period that are moved into the next budget period of the same funded agreement. May require sponsor approval depending on terms.,"Roll-over funds, Unspent balance carryforward"
Post-Award,Cost Transfer,Moving an already-posted financial charge from one award to another. Triggers heightened audit attention if not done promptly with clear justification.,"Charge transfer, Expense transfer, Journal entry transfer"
Post-Award,Rebudget,Moving committed funds between budget categories within the same agreement (e.g. from Equipment to Supplies). May require sponsor prior approval depending on terms.,"Budget revision, Reallocation, Budget shift"
Post-Award,Prior Approval,"Sponsor approval required before taking certain actions: rebudget over a threshold, no-cost extension, key personnel change, change in scope. Required by the terms of many federal awards.","Sponsor pre-approval, Advance approval"
Post-Award,Suspension,A pause on a funded agreement initiated by the sponsor or institution. Work and spending may be halted while issues are resolved.,"Stop work, Hold, Pause"
Post-Award,Termination,"The early ending of a funded agreement before its planned end date. May be initiated by the sponsor or institution due to noncompliance, scope failure, or mutual agreement.","Early end, Cancellation, Termination for default, Termination for convenience"
Financial,Direct Cost,"A cost that can be specifically and easily attributed to a particular project: PI salary, equipment used only for the project, project-specific travel, supplies. Counterpart to F&A / overhead.","DC, Direct charges"
Financial,Burn Rate,"The pace at which a budget is being spent over time, typically expressed as dollars per month. Used to forecast whether a funded agreement will spend its full budget or run a balance.","Spending rate, Spend velocity, Run rate"
Personnel & Effort,Person-Months,A federal effort unit equal to one month of full-time work. Used on federal proposal and progress report forms to express the time an investigator spends on a project.,"PM, Months of effort"
Personnel & Effort,Calendar / Academic / Summer Months,A federal categorization of effort time by appointment type. Faculty on 12-month appointments report effort one way; 9-month appointments report effort differently for academic-year months versus the summer off-period.,"AY months, CY months, Summer effort"
Personnel & Effort,Other Support / Current and Pending Support,"A federal disclosure requirement listing all sources of support an investigator currently has or has pending, including amount, time commitment, and overlap statement. Updated at proposal submission and Just-in-Time stages.","OS, C&P, Just-in-Time disclosure"
Personnel & Effort,Committed vs. Actual Effort,Committed effort is what an investigator promised on a proposal. Actual effort is what was certified after the work period. Discrepancies require explanation under federal effort policy.,"Promised vs certified effort, Proposed vs realized effort"
Compliance,Data Management Plan (DMP),"A federal requirement attached to proposals describing how research data will be managed, stored, shared, and preserved. Required by NSF, NIH (as DMSP), and many other agencies.","DMP, Data management & sharing plan, DMSP"
Compliance,Responsible Conduct of Research (RCR),"A federal training requirement for personnel on certain grants, covering authorship, data integrity, conflict of interest, mentoring, and human/animal subjects ethics.","RCR training, Ethics training, Research ethics requirement"
Compliance,Research Misconduct,"Formal categories of dishonest research practice: fabrication, falsification, and plagiarism. Federally regulated and investigated under institutional policies and Office of Research Integrity guidance.","FFP, Misconduct, Research integrity violation"
Compliance,Human Subjects Research,"Work involving living individuals about whom an investigator obtains data through intervention, interaction, or identifiable private information. Triggers IRB review.","HSR, IRB-relevant research, Subject research"
Compliance,Subject to Federal Funding,"A flag indicating that an award uses federal money, either directly or through a pass-through. Triggers a cascade of compliance obligations including audit thresholds, FFATA reporting, and federal-only terms.","Federally funded, Federal flow-through, Federal-applicable"
Compliance,Public Access Plan / Data Sharing Plan,"A required component of many federal proposals describing how publications and underlying data will be made publicly accessible after the project. Specifies timing, repository, and any restrictions.","PAP, DSP, Open access plan"
Operations,Program Officer (PO),A sponsor-side scientific contact responsible for the program a funded agreement falls under. The PI's primary scientific point of contact at the sponsor.,"PO, Scientific officer, Program manager"
Operations,Grants Management Specialist (GMS),A sponsor-side administrative contact responsible for the business and financial aspects of a funded agreement. Common at NIH; other sponsors use different titles.,"GMS, Grants manager, Award manager (at sponsor)"
Operations,Contract Officer,"A sponsor-side contact responsible for negotiating and managing the contractual side of a funded agreement, especially for contracts rather than grants. Has formal authority to modify terms.","CO, Contracting officer, KO (military)"
Faculty Development,Bridge Funding,"Short-term institutional funding to cover a gap between funded agreements, typically used to maintain a research program when external support has lapsed.","Bridge support, Gap funding, Interim funding"
Faculty Development,Seed Funding,"Internal institutional funding given to support early-stage research projects, pilot studies, or competitiveness for external funding. Often distributed via internal competitions.","Pilot funding, Internal grant, Seed grant"
